tvoc,eco2,iaq
0.747,661,2.58
0.748,663,2.58
0.748,665,2.58
0.749,663,2.58
0.75,670,2.58
0.75,664,2.58
0.751,658,2.58
0.751,663,2.58
0.752,661,2.58
0.752,656,2.58
0.753,659,2.58
0.754,657,2.58
0.754,667,2.58
0.755,658,2.58
0.755,668,2.59
0.756,670,2.59
0.756,663,2.59
0.757,659,2.59
0.757,672,2.59
0.758,673,2.59
0.758,662,2.59
0.759,662,2.59
0.759,657,2.59
0.759,669,2.59
0.76,671,2.59
0.76,660,2.59
0.761,657,2.59
0.761,674,2.59
0.762,672,2.59
0.763,672,2.59
0.763,664,2.6
0.764,668,2.6
0.765,672,2.6
0.765,663,2.6
0.766,674,2.6
0.767,676,2.6
0.767,665,2.6
0.768,677,2.6
0.769,669,2.6
0.77,669,2.6
0.77,672,2.6
0.771,661,2.61
0.771,677,2.61
0.772,665,2.61
0.772,669,2.61
0.772,679,2.61
0.773,667,2.61
0.774,664,2.61
0.774,679,2.61
0.774,671,2.61
0.775,664,2.61
0.776,679,2.61
0.776,668,2.61
0.777,678,2.61
0.778,664,2.61
0.778,664,2.61
0.779,664,2.62
0.779,671,2.62
0.78,680,2.62
0.78,680,2.62
0.781,680,2.62
0.782,666,2.62
0.782,684,2.62
0.783,665,2.62
0.783,677,2.62
0.784,668,2.62
0.784,679,2.62
0.785,679,2.62
0.785,679,2.62
0.785,669,2.62
0.786,667,2.62
0.786,671,2.63
0.787,666,2.63
0.788,680,2.63
0.789,681,2.63
0.789,671,2.63
0.79,672,2.63
0.79,677,2.63
0.791,675,2.63
0.791,685,2.63
0.792,683,2.63
0.792,675,2.63
0.792,672,2.63
0.793,680,2.63
0.793,669,2.63
0.794,688,2.64
0.795,683,2.64
0.795,683,2.64
0.796,682,2.64
0.796,674,2.64
0.797,684,2.64
0.797,680,2.64
0.798,672,2.64
0.798,683,2.64
0.799,686,2.64
0.799,672,2.64
0.8,684,2.64
0.801,681,2.64
0.801,681,2.64
0.802,685,2.65
0.803,688,2.65
0.804,682,2.65
0.805,690,2.65
0.805,674,2.65
0.806,686,2.65
0.806,680,2.65
0.807,683,2.65
0.807,687,2.65
0.808,679,2.65
0.808,678,2.65
0.809,688,2.65
0.81,674,2.66
0.81,677,2.66
0.811,691,2.66
0.811,679,2.66
0.812,694,2.66
0.812,675,2.66
0.813,681,2.66
0.813,680,2.66
0.814,686,2.66
0.814,679,2.66
0.814,679,2.66
0.815,691,2.66
0.815,677,2.66
0.815,679,2.66
0.816,683,2.66
0.817,688,2.66
0.817,689,2.67
0.818,678,2.67
0.819,696,2.67
0.819,687,2.67
0.82,685,2.67
0.82,695,2.67
0.821,691,2.67
0.822,683,2.67
0.822,678,2.67
0.823,695,2.67
0.823,686,2.67
0.824,694,2.67
0.825,688,2.67
0.825,683,2.67
0.826,682,2.68
0.826,681,2.68
0.827,688,2.68
0.827,681,2.68
0.828,689,2.68
0.829,682,2.68
0.829,681,2.68
0.83,685,2.68
0.831,696,2.68
0.831,684,2.68
0.832,691,2.68
0.832,690,2.68
0.832,690,2.68
0.833,695,2.69
0.834,701,2.69
0.834,690,2.69
0.835,690,2.69
0.835,688,2.69
0.835,689,2.69
0.836,691,2.69
0.837,688,2.69
0.837,697,2.69
0.838,685,2.69
0.839,697,2.69
0.839,691,2.69
0.84,693,2.69
0.84,692,2.69
0.84,701,2.69
0.841,702,2.7
0.841,692,2.7
0.842,688,2.7
0.843,686,2.7
0.843,698,2.7
0.844,688,2.7
0.844,694,2.7
0.845,702,2.7
0.846,696,2.7
0.846,693,2.7
0.847,688,2.7
0.847,692,2.7
0.848,687,2.7
0.848,697,2.71
0.849,691,2.71
0.85,706,2.71
0.85,700,2.71
0.85,697,2.71
0.851,707,2.71
0.851,702,2.71
0.852,699,2.71
0.852,692,2.71
0.853,693,2.71
0.854,706,2.71
0.854,705,2.71
0.855,692,2.71
0.856,696,2.71
0.856,707,2.72
0.857,707,2.72
0.858,698,2.72
0.859,710,2.72
0.859,707,2.72
0.86,704,2.72
0.86,695,2.72
0.861,699,2.72
0.862,699,2.72
0.862,702,2.72
0.863,710,2.72
0.863,698,2.72
0.864,707,2.73
0.865,708,2.73
0.865,712,2.73
0.866,698,2.73
0.867,695,2.73
0.867,712,2.73
0.868,709,2.73
0.868,696,2.73
0.869,695,2.73
0.869,711,2.73
0.87,695,2.73
0.87,709,2.73
0.87,702,2.73
0.871,711,2.73
0.872,712,2.73
0.872,708,2.74
0.873,703,2.74
0.873,701,2.74
0.874,708,2.74
0.874,712,2.74
0.875,707,2.74
0.875,704,2.74
0.876,711,2.74
0.876,698,2.74
0.877,699,2.74
0.878,710,2.74
0.878,714,2.74
0.879,699,2.74
0.879,707,2.74
0.88,707,2.75
0.88,704,2.75
0.881,701,2.75
0.881,716,2.75
0.882,700,2.75
0.882,701,2.75
0.883,701,2.75
0.883,712,2.75
0.884,702,2.75
0.885,713,2.75
0.886,701,2.75
0.886,711,2.75
0.887,717,2.75
0.887,715,2.75
0.888,701,2.76
0.888,710,2.76
0.889,716,2.76
0.89,711,2.76
0.89,711,2.76
0.891,713,2.76
0.891,713,2.76
0.892,708,2.76
0.893,716,2.76
0.893,704,2.76
0.894,706,2.76
0.894,708,2.76
0.895,714,2.76
0.896,723,2.77
0.896,707,2.77
0.897,720,2.77
0.898,712,2.77
0.898,705,2.77
0.899,713,2.77
0.899,711,2.77
0.9,706,2.77
0.901,718,2.77
0.902,714,2.77
0.902,718,2.77
0.903,711,2.77
0.903,714,2.78
0.904,718,2.78
0.904,722,2.78
0.905,712,2.78
0.906,719,2.78
0.907,716,2.78
0.908,726,2.78
0.908,721,2.78
0.909,713,2.78
0.909,719,2.78
0.909,723,2.78
0.91,725,2.78
0.911,716,2.79
0.911,724,2.79
0.912,726,2.79
0.913,730,2.79
0.914,711,2.79
0.914,723,2.79
0.915,712,2.79
0.916,717,2.79
0.917,724,2.79
0.917,730,2.79
0.918,719,2.79
0.919,729,2.8
0.919,725,2.8
0.92,718,2.8
0.92,712,2.8
0.921,718,2.8
0.922,720,2.8
0.922,720,2.8
0.922,731,2.8
0.923,716,2.8
0.924,719,2.8
0.924,717,2.8
0.925,723,2.8
0.925,731,2.8
0.926,732,2.8
0.926,715,2.81
0.927,731,2.81
0.927,715,2.81
0.928,719,2.81
0.928,727,2.81
0.929,717,2.81
0.929,719,2.81
0.93,722,2.81
0.93,724,2.81
0.931,718,2.81
0.931,729,2.81
0.932,724,2.81
0.933,725,2.81
0.933,731,2.81
0.934,732,2.82
0.935,720,2.82
0.935,728,2.82
0.935,722,2.82
0.936,728,2.82
0.937,724,2.82
0.937,719,2.82
0.938,734,2.82
0.938,724,2.82
0.939,736,2.82
0.94,724,2.82
0.94,720,2.82
0.941,729,2.82
0.942,725,2.83
0.943,723,2.83
0.943,735,2.83
0.944,722,2.83
0.945,738,2.83
0.946,731,2.83
0.946,725,2.83
0.946,738,2.83
0.947,740,2.83
0.948,728,2.83
0.948,732,2.83
0.949,725,2.83
